,기준_년_코드,기준_분기_코드,서비스_업종_코드,점포_수,유사_업종_점포_수,개업_율,개업_점포_수,폐업_률,폐업_점포_수,프랜차이즈_점포_수,당월_매출_금액,당월_매출_건수,주중_매출_비율,주말_매출_비율,월요일_매출_비율,화요일_매출_비율,수요일_매출_비율,목요일_매출_비율,금요일_매출_비율,토요일_매출_비율,일요일_매출_비율,시간대_00~06_매출_비율,시간대_06~11_매출_비율,시간대_11~14_매출_비율,시간대_14~17_매출_비율,시간대_17~21_매출_비율,시간대_21~24_매출_비율,남성_매출_비율,여성_매출_비율,연령대_10_매출_비율,연령대_20_매출_비율,연령대_30_매출_비율,연령대_40_매출_비율,연령대_50_매출_비율,연령대_60_이상_매출_비율,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
0,2015,1,CS100001,0.9444444444444446,0.8461538461538449,0.2857142857142857,0.25,3,0.46153846153846156,0.666666666666667,0.7240086880776628,0.686991605970978,0.0,1.0,0.3333333333333339,0.3333333333333339,0.0,0.0,0.0,0.8000000000000003,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.40000000000000036,0.5999999999999996,0.5,1.0,0.6666666666666661,0.33333333333333304,0.0,0.0,0.7256001049751678,0.7055686249571786,0.6720601790482679,0.7970201387342346,0.6523882211693182,0.670475116856107,0.7325801185743226,0.6735474298075326,0.6875390490284672,0.5099719212229303,0.47117315858898784,0.6003536799292986,0.707934762904737,0.7256303290690431,0.7394133053915035,0.7091205394007175,0.6920618230346155,0.7071416964834836,0.7632011191691317,0.7987065972542123,0.7618856887680299,0.4696281206637124,0.25129750545030083,0.6540985195658641,0.7537264848295785,0.5608142867641654,0.7108087422399862,0.564109264485558,0.6412828089692334,0.736125853519431,0.7519206751693601,0.7262696578546869,0.47775564409030535,0.41535044422507406,0.4453836572177381,0.7142784064168934,0.8196556168737721,0.7590074841259675,0.6552426595700837,0.6696973796088738,0.684009867683337,0.7639365145197486,0.7806342179342204,0.6813450760608487,0.4533694465780006,0.20559242316861026
1,2015,2,CS100001,0.6666666666666679,0.615384615384615,0.14285714285714285,0.1875,5,0.8461538461538463,0.5555555555555558,0.6810516405685041,0.6944362969547295,0.25,0.75,0.0,0.3333333333333339,0.5,0.0,0.0,0.6000000000000001,0.75,1.0,0.0,0.16666666666666696,0.75,0.7777777777777777,0.75,0.1999999999999993,0.7999999999999989,0.5,0.8333333333333339,1.0,0.6666666666666661,0.0,0.0,0.6960605270142722,0.6342429752859897,0.6215872002547602,0.6853412164133399,0.7362328223354921,0.6611081125260809,0.6777418749351181,0.5815350405920383,0.6466417267229785,0.5363571066785073,0.35825542667968974,0.6939636493765013,0.6272168348232912,0.6405103601784448,0.6669660733164278,0.6580476449503009,0.6841077880366232,0.7000256046110689,0.7254376045215953,0.8191002303962652,0.6699487835985134,0.4458137331199069,0.24760335076556994,0.6870063408976198,0.70951050468608,0.5680605570662158,0.6664512288459903,0.7231281140029965,0.691169824439423,0.7355238351737141,0.692073824572027,0.7012428837156869,0.4553452855245683,0.3858177031918394,0.5696573473399238,0.671921998731354,0.7682484263743414,0.7391535069260187,0.6508504713065287,0.7129647522609569,0.7111459968602826,0.7688319767743274,0.8533671775377137,0.6785595142780892,0.45755346242470785,0.2290445203272985
2,2015,3,CS100001,0.5555555555555554,0.5,0.2857142857142857,0.1875,4,0.6153846153846154,0.44444444444444464,0.6886020984164154,0.7498001688209623,0.25,0.75,0.0,0.0,1.0,0.0,0.0,0.6000000000000001,0.75,1.0,0.0,0.11111111111111116,0.75,0.8888888888888888,0.75,0.1999999999999993,0.7999999999999989,1.0,1.0,0.6666666666666661,0.6666666666666661,0.0,0.0,0.7193525340522394,0.6073128540150536,0.6270947010780707,0.6777348926725162,0.8129261716265741,0.7134711129098794,0.6659294018438098,0.5613236019963836,0.6138275718098132,0.46615544165656675,0.3120984304482261,0.7409532861783166,0.6589151421088533,0.6633076554268718,0.5988118918216072,0.7035751566399727,0.7529141454672957,0.7889892549437143,0.8160343354428059,0.8124273794432254,0.7685634977612379,0.4681273607655271,0.29799054824873605,0.7719449541897724,0.7048718957262406,0.6193870801793195,0.7294497831448252,0.9120588132817672,0.7871371458369546,0.7648167804692576,0.6964134781566564,0.6867566653514457,0.5139442231075697,0.38910825929582105,0.6173075953832972,0.7238137136543146,0.8481748445145225,0.7367746893813245,0.7344492396097663,0.7883541392904073,0.804440457501682,0.8691185946098073,0.8829126867646705,0.7991393114491593,0.5281562032582771,0.26828168288125764
3,2015,4,CS100001,0.6666666666666679,0.6538461538461533,0.5714285714285714,0.5,3,0.46153846153846156,0.666666666666667,0.8727766371116883,0.8134931385697683,0.125,0.875,0.0,0.3333333333333339,0.0,0.5,0.0,0.6000000000000001,1.0,1.0,0.0,0.0555555555555558,0.75,0.8888888888888888,1.0,0.1999999999999993,0.7999999999999989,1.0,0.8333333333333339,0.33333333333333215,0.6666666666666661,0.0,0.0,0.9096332302703906,0.7743648230398168,0.7388779455067374,0.9055324167487788,0.8664217205817817,0.9907295564721839,0.9123176659255541,0.7356655483683721,0.7588290427335731,0.881411747932891,0.34125273284965535,0.8007049223922202,0.7759542410827491,0.8533831043337685,0.8793312261774611,0.8948923248696078,0.8420119265754179,1.0,0.8901294369200701,0.9338057366551838,0.9386163560736893,0.6567942362090636,0.4470417758892046,0.8237818757959549,0.7926189152165363,0.615462629528919,0.7965643337018453,0.7962440333089439,0.9809490700504085,0.8808954230763137,0.7696451323972802,0.7872865114706048,0.7919986719787515,0.31186245475485364,0.655460914268434,0.7641955351844654,0.9063145249089612,0.9046277150542554,0.8207327771464906,0.8052436809152045,0.989758540778949,0.88611569880687,0.9069244279768062,0.8837570056044836,0.6204268908921858,0.30580074307926897
4,2016,1,CS100001,1.0,1.0,1.0,1.0,4,0.6923076923076923,1.0,0.9310188063896927,0.9277876169600137,0.125,0.875,0.0,0.3333333333333339,0.5,0.5,0.0,0.8000000000000003,0.75,1.0,0.0,0.11111111111111116,1.0,0.7777777777777777,1.0,0.40000000000000036,0.5999999999999996,0.5,0.666666666666667,0.6666666666666661,0.6666666666666661,0.33333333333333304,0.0,0.9590811465243357,0.8505786236887594,0.8107207053308632,0.9693393099521126,0.979772269881811,0.9570467041526127,0.9423050015019514,0.8240711719784377,0.8143817574384087,0.7671411959829711,0.35711470531796047,0.8980838066857026,0.9160964650960901,0.8843666890749209,0.8948940804758077,0.9596991859482032,0.9195967069887309,0.9335906214142096,1.0,1.0,1.0,0.7075046997785442,0.47167045879070923,0.9380383662745807,0.9069904650815824,0.6965679429705298,0.9386512458542393,1.0,1.0,1.0,0.9058143788870807,0.8728369314018375,0.7372177954847277,0.2913787430075683,0.7765665613052337,0.913783225225594,1.0,1.0,0.907964226627494,0.9023682074669553,0.9159751812813038,1.0,0.9999999999999999,0.9803509474246063,0.6966285321583053,0.3755556987307519
5,2016,2,CS100001,0.9444444444444446,0.884615384615385,0.42857142857142855,0.375,5,0.8461538461538463,0.7777777777777777,0.8529155219247762,0.864289440629429,0.25,0.75,0.3333333333333339,0.3333333333333339,0.5,0.0,0.0,0.6000000000000001,0.75,1.0,0.0,0.22222222222222232,0.75,0.6666666666666665,1.0,0.1999999999999993,0.7999999999999989,0.5,0.5,0.33333333333333215,0.6666666666666661,0.33333333333333304,0.3333333333333335,0.8846266435344025,0.7661340717892413,0.7758363721845567,0.9145198670283377,0.8969350244017762,0.8848028677255502,0.8286412306837088,0.7131835932379496,0.7682954806042792,0.7106996339293846,0.4393747655682491,0.9155596544715892,0.7776178187624763,0.7967173398628105,0.788306036315541,0.8110414147521222,0.8470768796922207,0.795003308568413,0.8495078831916243,0.8984693246694005,0.8598476861109698,0.6363031460608338,0.49581518072576247,0.887037092746909,0.8181380460876996,0.7212317189681783,0.8704481673611701,0.9365353123584544,0.9231705197288372,0.9229574943362748,0.7986602581084661,0.8079025985006482,0.747675962815405,0.31087528792365915,0.8076925846191505,0.7971087147797262,0.8932187058102139,0.9174184340061118,0.8042179137694513,0.878956674654093,0.9234506989609031,0.892833072883879,0.9336910232658854,0.9282425940752602,0.6596798318308607,0.426261194510663
6,2016,3,CS100001,0.7222222222222232,0.5769230769230766,0.2857142857142857,0.1875,6,1.0,0.3333333333333335,0.8256575988107475,0.8080411618643746,0.375,0.625,0.3333333333333339,0.3333333333333339,0.5,0.0,1.0,0.40000000000000036,0.75,1.0,0.0,0.2777777777777777,0.75,0.6666666666666665,0.75,0.1999999999999993,0.7999999999999989,0.5,0.666666666666667,0.33333333333333215,0.6666666666666661,0.33333333333333304,0.3333333333333335,0.8640691239307149,0.7248295117651395,0.7548714754369819,0.858867498189277,0.8263002458636617,0.7984186579792651,0.950791329196012,0.6580434405407343,0.7468310644472576,0.5900043598333049,0.489543165642258,0.8880564870705696,0.7642136422868946,0.8002727571770021,0.7092779939154816,0.7864476526366792,0.801092405562219,0.7468431639901598,0.8257915256224972,0.8380693843993777,0.8407740564934731,0.6107335115564011,0.4593533968222905,0.8365539210279139,0.7501932753733266,0.6740207246270302,0.8284037758312781,0.8234207867321696,0.8173648531201113,0.9730359151470984,0.7148822364354288,0.7603009976889691,0.5883134130146082,0.3229680816057914,0.7607263458783038,0.7693417364080948,0.838288846341555,0.802265366246409,0.7494392011633998,0.8107946200819355,0.8403229423637587,0.8538915592158375,0.8236051295623511,0.8460935414998666,0.625136435299349,0.3990937010072375
7,2016,4,CS100001,0.8888888888888893,0.73076923076923,0.42857142857142855,0.375,2,0.3076923076923077,0.44444444444444464,1.0,0.9107443123680385,0.0,1.0,0.0,0.3333333333333339,0.5,0.0,0.0,1.0,0.75,1.0,0.0,0.16666666666666696,0.75,0.7777777777777777,1.0,0.1999999999999993,0.7999999999999989,1.0,0.8333333333333339,0.33333333333333215,0.33333333333333304,0.0,0.3333333333333335,0.9999999999999999,0.9793234840798346,0.8554634243800416,1.0,1.0,1.0,1.0,1.0,0.87643232972511,1.0,0.5421332138986161,0.9252818513666121,0.8129878809205808,1.0,1.0,0.9999999999999999,0.8887130692404638,0.9803588148796225,0.9319531855216612,0.9926966816271471,0.9937747422010756,0.7746178630486232,0.6003912575020058,0.8913156109088843,0.9501620800499125,0.7209671492614096,0.9135980950761118,0.9252465070903454,0.9056666087258821,0.9295480109630709,1.0,0.8573361140860155,1.0,0.44381375452451466,0.8365289767940844,0.816660187022979,0.9407528375317542,0.9924243810499735,0.9000100090081072,0.876072505217593,1.0000000000000002,0.9354998777985973,0.9540095758246517,0.9681745396317053,0.7106156769212112,0.4750982539784808
8,2017,1,CS100001,0.8333333333333339,0.6923076923076916,0.14285714285714285,0.125,2,0.38461538461538464,0.44444444444444464,0.8051695107675532,0.7666755480524017,0.375,0.625,0.3333333333333339,0.666666666666667,0.5,0.5,0.0,0.40000000000000036,0.75,1.0,0.0,0.22222222222222232,0.5,0.6666666666666665,1.0,0.5999999999999996,0.5999999999999996,0.5,0.666666666666667,0.6666666666666661,0.6666666666666661,0.0,0.3333333333333335,0.8467156449099172,0.6979300282497409,0.7813794659302278,0.891697550501801,0.8296051854000888,0.838848007569508,0.7757903241050372,0.6190212985537209,0.7365737703644686,0.7599814870209362,0.4506160183075402,0.7636148013991912,0.7178684689722108,0.7772122153816172,0.8036918050169373,0.8287169860953315,0.7458552398901378,0.7377427824322942,0.7686346051580479,0.8523629157065261,0.8484466467472085,0.5836805919489679,0.5346063517049482,0.7978467020312935,0.7034341982123723,0.6505622106268834,0.8712305468152053,0.818194487996934,0.8258126195028682,0.7720251580298159,0.6502668130038225,0.7353164985062849,0.7460159362549801,0.34402764067127345,0.7155961321073965,0.7135110801907063,0.7915743764938494,0.7932990539625611,0.7744617214316413,0.7321055886217825,0.7574194512970023,0.7828369981410576,0.8160864230204748,0.8159527622097679,0.5888143267170635,0.46088095698301224
9,2017,2,CS100001,0.6666666666666679,0.615384615384615,0.2857142857142857,0.25,4,0.6153846153846154,0.5555555555555558,0.7536984715829496,0.7745837130312319,0.375,0.625,0.3333333333333339,0.3333333333333339,0.5,0.5,0.0,0.6000000000000001,0.75,1.0,0.0,0.38888888888888884,0.5,0.5555555555555554,0.75,0.40000000000000036,0.5999999999999996,0.5,0.5,0.6666666666666661,0.6666666666666661,0.33333333333333304,0.666666666666667,0.7663874861186685,0.7104462056978351,0.6888844087275379,0.6990645610639885,0.7616372003383065,0.801675558364221,0.7655039875379084,0.6611015615221436,0.7127410271788579,0.7130015772085105,0.5161447184438841,0.7983303924718728,0.6802170375824672,0.7087585900719426,0.6905964660172486,0.7222351002719046,0.731768020656283,0.6426084016218285,0.7066170758374166,0.7893258740521757,0.7397585377057243,0.562400141340932,0.5507947245861613,0.7819827589088443,0.7595722171737037,0.6344675534651283,0.7363721404881367,0.7954949304902269,0.8653050582304885,0.8244482818713266,0.7388890991434232,0.7529733385942167,0.6736387782204514,0.3636064494899638,0.769388063677666,0.7326226187309448,0.7750872846041221,0.738879027978554,0.749174256831148,0.7729574089819896,0.738581146744412,0.7909837583226563,0.8459928301614416,0.7895316253002401,0.5993248979261835,0.5017717930545712
